TEAM_NAME,OPP_TEAM_NAME,SEASON,TEAM_OFF_RATING,TEAM_DEF_RATING,TEAM_PACE,OPP_OFF_RATING,OPP_DEF_RATING,OPP_PACE,ORTG_DIFF,DRTG_DIFF,PACE_DIFF,WON
Miami Heat,Toronto Raptors,2015-16,105.5,103.7,94.14,109.3,104.8,93.35,-3.799999999999997,-1.0999999999999943,0.7900000000000063,0
Toronto Raptors,Miami Heat,2015-16,109.3,104.8,93.35,105.5,103.7,94.14,3.799999999999997,1.0999999999999943,-0.7900000000000063,1
Atlanta Hawks,Cleveland Cavaliers,2015-16,104.6,100.8,97.63,110.2,103.9,93.82,-5.6000000000000085,-3.1000000000000085,3.8100000000000023,0
Cleveland Cavaliers,Atlanta Hawks,2015-16,110.2,103.9,93.82,104.6,100.8,97.63,5.6000000000000085,3.1000000000000085,-3.8100000000000023,1
San Antonio Spurs,Oklahoma City Thunder,2015-16,109.3,98.2,94.54,112.1,104.8,97.54,-2.799999999999997,-6.599999999999994,-3.0,1
Oklahoma City Thunder,San Antonio Spurs,2015-16,112.1,104.8,97.54,109.3,98.2,94.54,2.799999999999997,6.599999999999994,3.0,0
Golden State Warriors,Portland Trail Blazers,2015-16,113.5,102.8,100.24,107.6,106.8,97.06,5.900000000000006,-4.0,3.1799999999999926,0
Miami Heat,Toronto Raptors,2015-16,105.5,103.7,94.14,109.3,104.8,93.35,-3.799999999999997,-1.0999999999999943,0.7900000000000063,0
Portland Trail Blazers,Golden State Warriors,2015-16,107.6,106.8,97.06,113.5,102.8,100.24,-5.900000000000006,4.0,-3.1799999999999926,1
Toronto Raptors,Miami Heat,2015-16,109.3,104.8,93.35,105.5,103.7,94.14,3.799999999999997,1.0999999999999943,-0.7900000000000063,1
Atlanta Hawks,Cleveland Cavaliers,2015-16,104.6,100.8,97.63,110.2,103.9,93.82,-5.6000000000000085,-3.1000000000000085,3.8100000000000023,0
Cleveland Cavaliers,Atlanta Hawks,2015-16,110.2,103.9,93.82,104.6,100.8,97.63,5.6000000000000085,3.1000000000000085,-3.8100000000000023,1
San Antonio Spurs,Oklahoma City Thunder,2015-16,109.3,98.2,94.54,112.1,104.8,97.54,-2.799999999999997,-6.599999999999994,-3.0,0
Oklahoma City Thunder,San Antonio Spurs,2015-16,112.1,104.8,97.54,109.3,98.2,94.54,2.799999999999997,6.599999999999994,3.0,1
Golden State Warriors,Portland Trail Blazers,2015-16,113.5,102.8,100.24,107.6,106.8,97.06,5.900000000000006,-4.0,3.1799999999999926,1
Miami Heat,Toronto Raptors,2015-16,105.5,103.7,94.14,109.3,104.8,93.35,-3.799999999999997,-1.0999999999999943,0.7900000000000063,1
Portland Trail Blazers,Golden State Warriors,2015-16,107.6,106.8,97.06,113.5,102.8,100.24,-5.900000000000006,4.0,-3.1799999999999926,0
Toronto Raptors,Miami Heat,2015-16,109.3,104.8,93.35,105.5,103.7,94.14,3.799999999999997,1.0999999999999943,-0.7900000000000063,0
San Antonio Spurs,Oklahoma City Thunder,2015-16,109.3,98.2,94.54,112.1,104.8,97.54,-2.799999999999997,-6.599999999999994,-3.0,0
Oklahoma City Thunder,San Antonio Spurs,2015-16,112.1,104.8,97.54,109.3,98.2,94.54,2.799999999999997,6.599999999999994,3.0,1
Golden State Warriors,Portland Trail Blazers,2015-16,113.5,102.8,100.24,107.6,106.8,97.06,5.900000000000006,-4.0,3.1799999999999926,1
Miami Heat,Toronto Raptors,2015-16,105.5,103.7,94.14,109.3,104.8,93.35,-3.799999999999997,-1.0999999999999943,0.7900000000000063,0
Portland Trail Blazers,Golden State Warriors,2015-16,107.6,106.8,97.06,113.5,102.8,100.24,-5.900000000000006,4.0,-3.1799999999999926,0
